Month,Rate
Apr-53,2.83
May-53,3.05
Jun-53,3.11
Jul-53,2.93
Aug-53,2.95
Sep-53,2.87
Oct-53,2.66
Nov-53,2.68
Dec-53,2.59
Jan-54,2.48
Feb-54,2.47
Mar-54,2.37
Apr-54,2.29
May-54,2.37
Jun-54,2.38
Jul-54,2.3
Aug-54,2.36
Sep-54,2.38
Oct-54,2.43
Nov-54,2.48
Dec-54,2.51
Jan-55,2.61
Feb-55,2.65
Mar-55,2.68
Apr-55,2.75
May-55,2.76
Jun-55,2.78
Jul-55,2.9
Aug-55,2.97
Sep-55,2.97
Oct-55,2.88
Nov-55,2.89
Dec-55,2.96
Jan-56,2.9
Feb-56,2.84
Mar-56,2.96
Apr-56,3.18
May-56,3.07
Jun-56,3
Oct-66,5.01
Nov-66,5.16
Dec-66,4.84
Jan-67,4.58
Feb-67,4.63
Mar-67,4.54
Apr-67,4.59
May-67,4.85
Jun-67,5.02
Jul-67,5.16
Aug-67,5.28
Sep-67,5.3
Oct-67,5.48
Nov-67,5.75
Dec-67,5.7
Jan-68,5.53
Feb-68,5.56
Mar-68,5.74
Apr-68,5.64
May-68,5.87
Jun-68,5.72
Jul-68,5.5
Aug-68,5.42
Sep-68,5.46
Oct-68,5.58
Nov-68,5.7
Dec-68,6.03
Jan-69,6.04
Feb-69,6.19
Mar-69,6.3
Apr-69,6.17
May-69,6.32
Jun-69,6.57
Jul-69,6.72
Aug-69,6.69
Sep-69,7.16
Oct-69,7.1
Nov-69,7.14
Dec-69,7.65
Apr-80,11.47
May-80,10.18
Jun-80,9.78
Jul-80,10.25
Aug-80,11.1
Sep-80,11.51
Oct-80,11.75
Nov-80,12.68
Dec-80,12.84
Jan-81,12.57
Feb-81,13.19
Mar-81,13.12
Apr-81,13.68
May-81,14.1
Jun-81,13.47
Jul-81,14.28
Aug-81,14.94
Sep-81,15.32
Oct-81,15.15
Nov-81,13.39
Dec-81,13.72
Jan-82,14.59
Feb-82,14.43
Mar-82,13.86
Apr-82,13.87
May-82,13.62
Jun-82,14.3
Jul-82,13.95
Aug-82,13.06
Sep-82,12.34
Oct-82,10.91
Nov-82,10.55
Dec-82,10.54
Jan-83,10.46
Feb-83,10.72
Mar-83,10.51
Apr-83,10.4
May-83,10.38
Jun-83,10.85
Oct-93,5.33
Nov-93,5.72
Dec-93,5.77
Jan-94,5.75
Feb-94,5.97
Mar-94,6.48
Apr-94,6.97
May-94,7.18
Jun-94,7.1
Jul-94,7.3
Aug-94,7.24
Sep-94,7.46
Oct-94,7.74
Nov-94,7.96
Dec-94,7.81
Jan-95,7.78
Feb-95,7.47
Mar-95,7.2
Apr-95,7.06
May-95,6.63
Jun-95,6.17
Jul-95,6.28
Aug-95,6.49
Sep-95,6.2
Oct-95,6.04
Nov-95,5.93
Dec-95,5.71
Jan-96,5.65
Feb-96,5.81
Mar-96,6.27
Apr-96,6.51
May-96,6.74
Jun-96,6.91
Jul-96,6.87
Aug-96,6.64
Sep-96,6.83
Oct-96,6.53
Nov-96,6.2
Dec-96,6.3
