Date,Beer_Sale
01-01-1963,591
02-01-1963,464
03-01-1963,461
04-01-1963,605
05-01-1963,586
06-01-1963,526
07-01-1963,665
08-01-1963,570
09-01-1963,590
10-01-1963,567
11-01-1963,579
12-01-1963,514
01-01-1964,549
02-01-1964,609
03-01-1964,562
04-01-1964,559
05-01-1964,523
06-01-1964,580
07-01-1964,575
08-01-1964,582
09-01-1964,590
10-01-1964,583
11-01-1964,548
12-01-1964,540
01-01-1965,533
02-01-1965,559
03-01-1965,556
04-01-1965,555
05-01-1965,544
06-01-1965,614
07-01-1965,554
08-01-1965,615
09-01-1965,587
10-01-1965,555
11-01-1965,616
12-01-1965,609
01-01-1966,599
02-01-1966,541
03-01-1966,557
04-01-1966,545
05-01-1966,499
06-01-1966,434
07-01-1966,435
08-01-1966,377
09-01-1966,358
10-01-1966,387
11-01-1966,382
12-01-1966,369
01-01-1967,416
02-01-1967,408
03-01-1967,439
04-01-1967,479
05-01-1967,503
06-01-1967,499
07-01-1967,515
08-01-1967,504
09-01-1967,531
10-01-1967,566
11-01-1967,500
12-01-1967,502
01-01-1968,494
02-01-1968,543
03-01-1968,490
04-01-1968,501
05-01-1968,441
06-01-1968,441
07-01-1968,493
08-01-1968,507
09-01-1968,501
10-01-1968,502
11-01-1968,469
12-01-1968,511
01-01-1969,480
02-01-1969,524
03-01-1969,474
04-01-1969,450
05-01-1969,447
06-01-1969,461
07-01-1969,436
08-01-1969,422
09-01-1969,396
10-01-1969,401
11-01-1969,441
12-01-1969,452
01-01-1970,461
02-01-1970,373
03-01-1970,389
04-01-1970,445
05-01-1970,466
06-01-1970,485
07-01-1970,481
08-01-1970,515
09-01-1970,564
10-01-1970,545
11-01-1970,570
12-01-1970,582
01-01-1971,618
02-01-1971,618
03-01-1971,681
04-01-1971,662
05-01-1971,618
06-01-1971,646
07-01-1971,706
08-01-1971,659
09-01-1971,625
10-01-1971,647
11-01-1971,710
12-01-1971,689
01-01-1972,698
02-01-1972,711
03-01-1972,640
04-01-1972,684
05-01-1972,677
06-01-1972,687
07-01-1972,681
08-01-1972,773
09-01-1972,767
10-01-1972,843
11-01-1972,735
12-01-1972,772
01-01-1973,781
02-01-1973,737
03-01-1973,725
04-01-1973,661
05-01-1973,660
06-01-1973,650
07-01-1973,601
08-01-1973,566
09-01-1973,561
10-01-1973,565
11-01-1973,547
12-01-1973,519
01-01-1974,523
02-01-1974,539
03-01-1974,572
04-01-1974,544
05-01-1974,590
06-01-1974,534
07-01-1974,534
08-01-1974,492
09-01-1974,511
10-01-1974,448
11-01-1974,450
12-01-1974,417
01-01-1975,416
02-01-1975,422
03-01-1975,477
04-01-1975,543
05-01-1975,579
06-01-1975,557
07-01-1975,569
08-01-1975,566
09-01-1975,556
10-01-1975,609
11-01-1975,680
12-01-1975,669
01-01-1976,603
02-01-1976,644
03-01-1976,591
04-01-1976,611
05-01-1976,570
06-01-1976,591
07-01-1976,664
08-01-1976,648
09-01-1976,696
10-01-1976,708
11-01-1976,735
12-01-1976,767
01-01-1977,825
02-01-1977,839
03-01-1977,872
04-01-1977,799
05-01-1977,807
06-01-1977,805
07-01-1977,755
08-01-1977,808
09-01-1977,842
10-01-1977,819
11-01-1977,829
12-01-1977,835
01-01-1978,795
02-01-1978,791
03-01-1978,814
04-01-1978,864
05-01-1978,857
06-01-1978,834
07-01-1978,789
08-01-1978,756
09-01-1978,812
10-01-1978,872
11-01-1978,798
12-01-1978,805
01-01-1979,754
02-01-1979,723
03-01-1979,793
04-01-1979,748
05-01-1979,727
06-01-1979,700
07-01-1979,715
08-01-1979,729
09-01-1979,727
10-01-1979,670
11-01-1979,597
12-01-1979,559
01-01-1980,592
02-01-1980,541
03-01-1980,474
04-01-1980,370
05-01-1980,469
06-01-1980,552
07-01-1980,636
08-01-1980,659
09-01-1980,596
10-01-1980,561
11-01-1980,562
12-01-1980,532
01-01-1981,511
02-01-1981,510
03-01-1981,514
04-01-1981,470
05-01-1981,467
06-01-1981,415
07-01-1981,431
08-01-1981,378
09-01-1981,338
10-01-1981,356
11-01-1981,382
12-01-1981,457
01-01-1982,368
02-01-1982,365
03-01-1982,374
04-01-1982,339
05-01-1982,384
06-01-1982,370
07-01-1982,375
08-01-1982,407
09-01-1982,481
10-01-1982,480
11-01-1982,554
12-01-1982,521
01-01-1983,582
02-01-1983,562
03-01-1983,596
04-01-1983,638
05-01-1983,664
06-01-1983,651
07-01-1983,606
08-01-1983,572
09-01-1983,608
10-01-1983,632
11-01-1983,644
12-01-1983,773
01-01-1984,691
02-01-1984,696
03-01-1984,641
04-01-1984,639
05-01-1984,615
06-01-1984,630
07-01-1984,619
08-01-1984,567
09-01-1984,662
10-01-1984,687
11-01-1984,597
12-01-1984,597
01-01-1985,645
02-01-1985,682
03-01-1985,671
04-01-1985,620
05-01-1985,678
06-01-1985,722
07-01-1985,766
08-01-1985,726
09-01-1985,678
10-01-1985,655
11-01-1985,733
12-01-1985,721
01-01-1986,733
02-01-1986,728
03-01-1986,880
04-01-1986,857
05-01-1986,789
06-01-1986,728
07-01-1986,698
08-01-1986,621
09-01-1986,763
10-01-1986,669
11-01-1986,707
12-01-1986,784
01-01-1987,709
02-01-1987,732
03-01-1987,713
04-01-1987,735
05-01-1987,651
06-01-1987,637
07-01-1987,658
08-01-1987,657
09-01-1987,666
10-01-1987,650
11-01-1987,625
12-01-1987,595
01-01-1988,585
02-01-1988,663
03-01-1988,669
04-01-1988,699
05-01-1988,684
06-01-1988,717
07-01-1988,679
08-01-1988,688
09-01-1988,703
10-01-1988,718
11-01-1988,628
12-01-1988,658
01-01-1989,719
02-01-1989,622
03-01-1989,567
04-01-1989,608
05-01-1989,656
06-01-1989,642
07-01-1989,731
08-01-1989,697
09-01-1989,639
10-01-1989,645
11-01-1989,684
12-01-1989,630
01-01-1990,620
02-01-1990,591
03-01-1990,574
04-01-1990,542
05-01-1990,534
06-01-1990,545
07-01-1990,542
08-01-1990,528
09-01-1990,496
10-01-1990,465
11-01-1990,493
12-01-1990,464
01-01-1991,401
02-01-1991,482
03-01-1991,507
04-01-1991,508
05-01-1991,517
06-01-1991,516
07-01-1991,511
08-01-1991,526
09-01-1991,487
10-01-1991,524
11-01-1991,575
12-01-1991,558
01-01-1992,676
02-01-1992,639
03-01-1992,553
04-01-1992,546
05-01-1992,554
06-01-1992,596
07-01-1992,627
08-01-1992,636
09-01-1992,650
10-01-1992,621
11-01-1992,614
12-01-1992,650
01-01-1993,596
02-01-1993,604
03-01-1993,602
04-01-1993,701
05-01-1993,626
06-01-1993,653
07-01-1993,655
08-01-1993,645
09-01-1993,726
10-01-1993,704
11-01-1993,769
12-01-1993,812
01-01-1994,619
02-01-1994,686
03-01-1994,747
04-01-1994,692
05-01-1994,691
06-01-1994,621
07-01-1994,628
08-01-1994,656
09-01-1994,677
10-01-1994,715
11-01-1994,646
12-01-1994,629
01-01-1995,626
02-01-1995,559
03-01-1995,616
04-01-1995,621
05-01-1995,674
06-01-1995,725
07-01-1995,765
08-01-1995,701
09-01-1995,678
10-01-1995,696
11-01-1995,664
12-01-1995,709
01-01-1996,714
02-01-1996,769
03-01-1996,721
04-01-1996,736
05-01-1996,746
06-01-1996,721
07-01-1996,770
08-01-1996,826
09-01-1996,770
10-01-1996,720
11-01-1996,771
12-01-1996,805
01-01-1997,830
02-01-1997,801
03-01-1997,831
04-01-1997,744
05-01-1997,760
06-01-1997,793
07-01-1997,805
08-01-1997,815
09-01-1997,840
10-01-1997,800
11-01-1997,864
12-01-1997,793
01-01-1998,872
02-01-1998,866
03-01-1998,836
04-01-1998,866
05-01-1998,887
06-01-1998,923
07-01-1998,876
08-01-1998,846
09-01-1998,864
10-01-1998,893
11-01-1998,995
12-01-1998,949
01-01-1999,875
02-01-1999,848
03-01-1999,863
04-01-1999,918
05-01-1999,888
06-01-1999,923
07-01-1999,900
08-01-1999,893
09-01-1999,826
10-01-1999,872
11-01-1999,863
12-01-1999,873
01-01-2000,873
02-01-2000,856
03-01-2000,900
04-01-2000,841
05-01-2000,857
06-01-2000,793
07-01-2000,887
08-01-2000,848
09-01-2000,912
10-01-2000,933
11-01-2000,880
12-01-2000,983
01-01-2001,936
02-01-2001,963
03-01-2001,939
04-01-2001,909
05-01-2001,885
06-01-2001,882
07-01-2001,880
08-01-2001,866
09-01-2001,853
10-01-2001,871
11-01-2001,924
12-01-2001,979
01-01-2002,880
02-01-2002,948
03-01-2002,923
04-01-2002,936
05-01-2002,978
06-01-2002,957
07-01-2002,956
08-01-2002,1014
09-01-2002,1044
10-01-2002,1006
11-01-2002,1024
12-01-2002,1048
01-01-2003,999
02-01-2003,936
03-01-2003,999
04-01-2003,1012
05-01-2003,1078
06-01-2003,1193
07-01-2003,1168
08-01-2003,1206
09-01-2003,1131
10-01-2003,1144
11-01-2003,1093
12-01-2003,1129
01-01-2004,1165
02-01-2004,1159
03-01-2004,1276
04-01-2004,1186
05-01-2004,1241
06-01-2004,1180
07-01-2004,1088
08-01-2004,1175
09-01-2004,1214
10-01-2004,1305
11-01-2004,1179
12-01-2004,1242
01-01-2005,1203
02-01-2005,1319
03-01-2005,1328
04-01-2005,1260
05-01-2005,1286
06-01-2005,1274
07-01-2005,1389
08-01-2005,1255
09-01-2005,1244
10-01-2005,1336
11-01-2005,1214
12-01-2005,1239
01-01-2006,1174
02-01-2006,1061
03-01-2006,1116
04-01-2006,1123
05-01-2006,1086
06-01-2006,1074
07-01-2006,965
08-01-2006,1035
09-01-2006,1016
10-01-2006,941
11-01-2006,1003
12-01-2006,998
01-01-2007,891
02-01-2007,828
03-01-2007,833
04-01-2007,887
05-01-2007,842
06-01-2007,793
07-01-2007,778
08-01-2007,699
09-01-2007,686
10-01-2007,727
11-01-2007,641
12-01-2007,619
01-01-2008,627
02-01-2008,593
03-01-2008,535
04-01-2008,536
05-01-2008,504
06-01-2008,487
07-01-2008,477
08-01-2008,435
09-01-2008,433
10-01-2008,393
11-01-2008,389
12-01-2008,377
01-01-2009,336
02-01-2009,372
03-01-2009,339
04-01-2009,337
05-01-2009,376
06-01-2009,393
07-01-2009,411
08-01-2009,418
09-01-2009,386
10-01-2009,396
11-01-2009,375
12-01-2009,352
01-01-2010,345
02-01-2010,336
03-01-2010,381
04-01-2010,422
05-01-2010,280
06-01-2010,305
07-01-2010,283
08-01-2010,282
09-01-2010,317
10-01-2010,291
11-01-2010,287
12-01-2010,326
01-01-2011,307
02-01-2011,270
03-01-2011,300
04-01-2011,310
05-01-2011,305
06-01-2011,301
07-01-2011,296
08-01-2011,299
09-01-2011,304
10-01-2011,316
11-01-2011,328
12-01-2011,341
01-01-2012,335
02-01-2012,366
03-01-2012,354
04-01-2012,354
05-01-2012,370
06-01-2012,360
07-01-2012,369
08-01-2012,375
09-01-2012,385
10-01-2012,358
11-01-2012,392
12-01-2012,399
01-01-2013,446
02-01-2013,447
03-01-2013,444
04-01-2013,441
05-01-2013,428
06-01-2013,470
07-01-2013,375
08-01-2013,381
09-01-2013,403
10-01-2013,444
11-01-2013,446
12-01-2013,433
01-01-2014,443
02-01-2014,420
03-01-2014,405
04-01-2014,403
05-01-2014,451
06-01-2014,418
07-01-2014,402
08-01-2014,456
09-01-2014,470
10-01-2014,476
11-01-2014,442
12-01-2014,497
01-01-2015,515
02-01-2015,540
03-01-2015,480
04-01-2015,502
05-01-2015,502
06-01-2015,480
07-01-2015,506
08-01-2015,518
09-01-2015,456
10-01-2015,482
11-01-2015,504
12-01-2015,546
01-01-2016,505
02-01-2016,517
03-01-2016,532
04-01-2016,576
05-01-2016,571
06-01-2016,557
07-01-2016,628
08-01-2016,575
09-01-2016,558
10-01-2016,575
11-01-2016,571
12-01-2016,561
01-01-2017,578
02-01-2017,601
03-01-2017,643
04-01-2017,604
05-01-2017,627
06-01-2017,612
07-01-2017,553
08-01-2017,550
09-01-2017,622
10-01-2017,625
11-01-2017,718
12-01-2017,658
01-01-2018,610
02-01-2018,644
03-01-2018,680
04-01-2018,658
05-01-2018,680
06-01-2018,598
07-01-2018,600
08-01-2018,582
09-01-2018,584
10-01-2018,546
11-01-2018,618
12-01-2018,566
01-01-2019,628
02-01-2019,675
03-01-2019,721
04-01-2019,689
05-01-2019,619
06-01-2019,711
07-01-2019,636
08-01-2019,677
09-01-2019,706
10-01-2019,703
11-01-2019,700
12-01-2019,733
01-01-2020,756
02-01-2020,730
03-01-2020,623
04-01-2020,582
05-01-2020,704
06-01-2020,839
07-01-2020,972
08-01-2020,977
09-01-2020,971
10-01-2020,969
11-01-2020,865
12-01-2020,943
01-01-2021,993
02-01-2021,823
03-01-2021,873
04-01-2021,796
05-01-2021,733
06-01-2021,683
07-01-2021,704
08-01-2021,668
09-01-2021,725
10-01-2021,649
11-01-2021,725
12-01-2021,811
